,avg_engagement_rate
Beast Reacts,2.028422208562192
Billie Eilish,2.861868213275434
Marques Brownlee,2.744831423350158
Movieclips,0.5094307301022358
MrBeast,2.9647244828228696
MrBeast 2,4.78855473424532
MrBeast Gaming,2.081575823490083
PewDiePie,4.773547710658155
Taylor Swift,3.42189829642655
xQc,2.7582898934741835
