playlist_id,playlist_title,published_at,video_count,playlist_duration
PLKeR9CeyAc9bEhQkuYBZLLQBwiFYyHV0n,xQc Reacts to Movie Recaps,2022-05-30T17:27:49Z,42,37979.0
PLKeR9CeyAc9bgFdVc2355ZYzLYhbdzH22,Johnny Depp vs Amber Heard Trial,2022-04-24T01:18:20Z,23,122537.0
PLKeR9CeyAc9bS3EZqL7eb5XheLAWR31uK,xQc Reacts to SunnyV2,2022-04-07T23:37:54Z,74,76212.0
PLKeR9CeyAc9ZS3WIV6SmQNBuXS_ApXBi6,xQc Plays Deceit,2022-03-15T23:19:23Z,8,33074.0
PLKeR9CeyAc9Zd6CkWctChIsGfmOQ8I9Wa,xQc Plays Elden Ring,2022-03-03T17:45:10Z,8,146027.0
PLKeR9CeyAc9aLiZxUrwNX5-TnCnv5vsTK,Idiots In Cars | xQc Reacts,2021-10-28T02:29:09Z,14,8908.0
PLKeR9CeyAc9aLOkzbsQuif8ocLXEi8Jfm,xQc Reacts to UK Border Agency,2021-08-26T17:30:17Z,5,6546.0
PLKeR9CeyAc9YF2YYE0AL2i0d6AC9A-vAW,xQc Reacts to Livestream FAILS!,2021-08-17T13:14:18Z,129,124152.0
PLKeR9CeyAc9Y8ED94VBFzsIj8IRwtlV1v,xQc Viewer Ban Appeals,2021-08-16T22:41:44Z,18,16557.0
PLKeR9CeyAc9Zu5BeA6uNEVih0I5jm5fnc,xQc Reacts to JCS Criminal Psychology,2021-07-23T00:59:57Z,25,79331.0
PLKeR9CeyAc9Zv21m9QsqiPTjzck1jCI6x,xQc Plays Rust,2021-07-06T13:10:21Z,32,68750.0
PLKeR9CeyAc9YiTa5wtGkQA7ciUOevO9xL,Pierre Paul GTA Roleplay,2021-05-06T19:03:33Z,11,24084.0
PLKeR9CeyAc9brDTtmz6DcCQpy5mA6m9AK,xQc GTA Roleplay,2021-02-07T02:46:36Z,94,443590.0
PLKeR9CeyAc9ZCZ9xgjf0r_YroRAsfCA4j,Viewer Christmas Gifts Review | xQcOW,2020-12-26T14:27:55Z,10,10116.0
PLKeR9CeyAc9Y5j9aa4Tzy3TjRfLWYN2l6,xQc Cart Narcs | xQcOW,2020-12-17T22:37:14Z,21,18523.0
PLsCPTY_MPoPaVzVYbgiru7ZVuQN0ZnETa,Billie Eilish - Guitar Songs,2022-07-21T16:11:43Z,4,972.0
PLsCPTY_MPoPZLKsjasPhYLuoWG-s-rdKq,Billie Eilish - Happier Than Ever Official Album Playlist,2021-07-30T15:31:32Z,16,3622.0
PLsCPTY_MPoPZ_y3eBe2Yyv1rnzDR0x9TU,Billie Eilish - Happier Than Ever,2021-06-04T06:18:30Z,32,7283.0
PLsCPTY_MPoPZrzRDbMdl06imZkcwwgFVH,"BILLIE EILISH - WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-04T16:08:44Z,19,4213.0
PLsCPTY_MPoPbCftVtuvquFs9ayLDwD237,Billie Eilish Official Music Videos,2017-08-14T18:50:09Z,24,5466.0
